# galex.FUV
# photon
# GALEX FUV http://svo2.cab.inta-csic.es/theory/fps/index.php?id=GALEX/GALEX.FUV
1340.0 0
1350.0 11.54
1360.0 14.596
1370.0 17.652
1380.0 17.774
1390.0 14.962
1400.0 12.15
1410.0 17.394
1420.0 22.638
1430.0 27.042
1440.0 30.606
1450.0 34.17
1460.0 35.414
1470.0 36.658
1480.0 36.806
1490.0 35.858
1500.0 34.91
1510.0 34.798
1520.0 34.686
1530.0 32.942
1540.0 29.566
1550.0 26.19
1560.0 26.0867
1570.0 25.9833
1580.0 25.88
1590.0 25.7767
1600.0 25.6733
1610.0 25.57
1620.0 23.16
1630.0 20.75
1640.0 18.34
1650.0 15.93
1660.0 15.184
1670.0 14.438
1680.0 13.692
1690.0 12.946
1700.0 12.2
1710.0 11.87
1720.0 11.54
1730.0 11.21
1740.0 10.88
1750.0 10.55
1760.0 8.646
1770.0 6.742
1780.0 4.838
1790.0 2.934
1800.0 1.03
1810.0 0
