# jcmt.scuba2.850GHz
# energy
# JCMT SCUBA2 850 GHz http://svo2.cab.inta-csic.es/theory/fps/index.php?id=JCMT/SCUBA2.850GHz
7426119.84 0.001
7513595.44 0.001
7515479.02 0.002
7559063.49 0.002
7560969.94 0.003
7593527.30 0.003
7595451.18 0.004
7620550.53 0.004
7622488.13 0.005
7643866.85 0.005
7645816.32 0.006
7663406.39 0.006
7665365.84 0.007
7681077.58 0.007
7683046.08 0.008
7698830.46 0.008
7700808.07 0.009
7714679.83 0.009
7716665.59 0.01
7728601.65 0.01
7730594.58 0.011
7740574.70 0.011
7742573.81 0.012
7750580.61 0.012
7752584.90 0.013
7762621.91 0.013
7764632.43 0.014
7774700.67 0.014
7776717.46 0.015
7786817.09 0.015
7788840.17 0.016
7798971.33 0.016
7801000.73 0.017
7809128.89 0.017
7811163.57 0.018
7815236.13 0.018
7817274.00 0.018
7819312.94 0.018
7821352.94 0.019
7823394.00 0.019
7825436.13 0.019
7827479.32 0.02
7829523.58 0.02
7831568.91 0.02
7833615.31 0.02
7835662.78 0.021
7837711.32 0.021
7839760.93 0.021
7841811.61 0.021
7843863.37 0.022
7845916.20 0.022
7847970.10 0.022
7850025.09 0.023
7852081.14 0.023
7854138.28 0.023
7856196.49 0.024
7858255.78 0.024
7860316.15 0.024
7862377.60 0.025
7864440.14 0.025
7866503.75 0.025
7868568.45 0.026
7870634.23 0.026
7872701.10 0.026
7874769.06 0.027
7876838.10 0.027
7878908.23 0.027
7880979.44 0.028
7883051.75 0.028
7885125.14 0.029
7887199.63 0.029
7889275.21 0.029
7891351.88 0.03
7893429.65 0.03
7895508.51 0.03
7897588.46 0.031
7899669.51 0.031
7901751.66 0.032
7903834.91 0.032
7905919.25 0.032
7908004.70 0.033
7910091.24 0.033
7912178.89 0.034
7914267.63 0.034
7916357.49 0.035
7918448.44 0.035
7920540.50 0.036
7922633.67 0.036
7924727.94 0.037
7926823.32 0.037
7928919.81 0.038
7931017.41 0.038
7933116.12 0.039
7935215.93 0.039
7937316.87 0.04
7939418.91 0.04
7941522.07 0.041
7943626.34 0.041
7945731.73 0.042
7947838.23 0.043
7949945.85 0.043
7952054.59 0.044
7954164.45 0.045
7956275.42 0.045
7958387.52 0.046
7960500.74 0.047
7962615.09 0.047
7964730.55 0.048
7966847.14 0.049
7968964.86 0.049
7971083.70 0.05
7973203.67 0.051
7975324.77 0.051
7977446.99 0.052
7979570.35 0.053
7981694.83 0.054
7983820.45 0.055
7985947.20 0.056
7988075.09 0.057
7990204.10 0.057
7992334.26 0.058
7994465.55 0.059
7996597.97 0.06
7998731.54 0.061
8000866.24 0.062
8003002.08 0.063
8005139.07 0.064
8007277.19 0.064
8009416.46 0.065
8011556.87 0.067
8013698.42 0.068
8015841.12 0.069
8017984.97 0.07
8020129.96 0.071
8022276.10 0.072
8024423.39 0.073
8026571.83 0.074
8028721.42 0.076
8030872.17 0.077
8033024.06 0.078
8035177.11 0.079
8037331.31 0.08
8039486.67 0.081
8041643.19 0.083
8043800.86 0.084
8045959.69 0.085
8048119.68 0.087
8050280.83 0.088
8052443.14 0.09
8054606.61 0.091
8056771.24 0.093
8058937.04 0.094
8061104.01 0.096
8063272.14 0.097
8065441.43 0.099
8067611.89 0.1
8069783.53 0.102
8071956.33 0.103
8074130.30 0.105
8076305.44 0.107
8078481.76 0.108
8080659.25 0.11
8082837.91 0.112
8085017.75 0.114
8087198.76 0.116
8089380.95 0.118
8091564.32 0.12
8093748.87 0.122
8095934.59 0.124
8098121.50 0.126
8100309.59 0.127
8102498.86 0.129
8104689.32 0.131
8106880.96 0.133
8109073.79 0.136
8111267.80 0.138
8113463.00 0.14
8115659.39 0.143
8117856.97 0.145
8120055.74 0.147
8122255.70 0.15
8124456.86 0.152
8126659.20 0.154
8128862.74 0.157
8131067.48 0.159
8133273.41 0.161
8135480.54 0.164
8137688.87 0.166
8139898.40 0.169
8142109.13 0.171
8144321.05 0.174
8146534.18 0.177
8148748.52 0.179
8150964.06 0.182
8153180.80 0.185
8155398.75 0.187
8157617.90 0.19
8159838.27 0.192
8162059.84 0.195
8164282.63 0.198
8166506.62 0.2
8168731.83 0.203
8170958.24 0.206
8173185.88 0.208
8175414.73 0.211
8177644.79 0.214
8179876.07 0.218
8182108.57 0.221
8184342.29 0.224
8186577.23 0.227
8188813.38 0.23
8191050.77 0.233
8193289.37 0.236
8195529.20 0.24
8197770.25 0.243
8200012.53 0.246
8202256.03 0.249
8204500.77 0.252
8206746.73 0.256
8208993.92 0.259
8211242.34 0.262
8213492.00 0.264
8215742.89 0.267
8217995.01 0.27
8220248.37 0.273
8222502.96 0.276
8224758.79 0.279
8227015.86 0.282
8229274.17 0.284
8231533.72 0.287
8233794.51 0.29
8236056.54 0.293
8238319.81 0.296
8240584.33 0.299
8242850.10 0.302
8245117.11 0.304
8247385.36 0.307
8249654.87 0.31
8251925.63 0.313
8254197.63 0.315
8256470.89 0.318
8258745.40 0.321
8261021.16 0.324
8263298.18 0.326
8265576.45 0.329
8267855.98 0.332
8270136.77 0.335
8272418.82 0.337
8274702.13 0.34
8276986.69 0.343
8279272.52 0.346
8281559.61 0.349
8283847.97 0.351
8286137.59 0.354
8288428.48 0.357
8290720.63 0.359
8293014.05 0.362
8295308.74 0.365
8297604.71 0.368
8299901.94 0.371
8302200.44 0.373
8304500.22 0.376
8306801.27 0.379
8309103.60 0.382
8311407.21 0.385
8313712.09 0.387
8316018.25 0.389
8318325.69 0.391
8320634.42 0.393
8322944.42 0.395
8325255.71 0.397
8327568.28 0.399
8329882.13 0.4
8332197.28 0.402
8334513.71 0.404
8336831.42 0.406
8339150.43 0.408
8341470.73 0.41
8343792.32 0.412
8346115.20 0.415
8348439.38 0.417
8350764.85 0.418
8353091.61 0.42
8355419.68 0.422
8357749.04 0.424
8360079.70 0.426
8362411.66 0.428
8364744.92 0.43
8367079.49 0.432
8369415.35 0.434
8371752.53 0.436
8374091.01 0.439
8376430.79 0.441
8378771.88 0.443
8381114.29 0.445
8383458.00 0.446
8385803.02 0.447
8388149.36 0.448
8390497.01 0.448
8392845.97 0.449
8395196.25 0.45
8397547.84 0.45
8399900.76 0.451
8402254.99 0.452
8404610.54 0.452
8406967.41 0.453
8409325.61 0.454
8411685.13 0.454
8414045.97 0.455
8416408.14 0.456
8418771.64 0.456
8421136.46 0.456
8423502.61 0.456
8425870.10 0.456
8428238.91 0.456
8430609.06 0.455
8432980.53 0.455
8435353.35 0.455
8437727.50 0.455
8440102.98 0.455
8442479.81 0.455
8444857.97 0.454
8447237.48 0.454
8449618.32 0.454
8452000.51 0.454
8454384.04 0.454
8456768.91 0.454
8459155.14 0.453
8461542.70 0.453
8463931.62 0.453
8466321.89 0.453
8468713.50 0.453
8471106.47 0.453
8473500.79 0.452
8475896.47 0.452
8478293.50 0.452
8480691.88 0.452
8483091.62 0.452
8485492.73 0.452
8487895.19 0.451
8490299.01 0.451
8492704.19 0.451
8495110.74 0.452
8497518.65 0.452
8499927.93 0.452
8502338.57 0.452
8504750.58 0.452
8507163.96 0.453
8509578.71 0.453
8511994.83 0.453
8514412.33 0.453
8516831.19 0.454
8519251.44 0.454
8521673.05 0.454
8524096.05 0.454
8526520.42 0.454
8528946.17 0.454
8531373.31 0.454
8533801.82 0.455
8536231.72 0.455
8538663.00 0.455
8541095.67 0.455
8543529.72 0.455
8545965.17 0.455
8548402.00 0.455
8550840.22 0.455
8553279.83 0.455
8555720.83 0.455
8558163.23 0.455
8560607.02 0.455
8563052.21 0.455
8565498.80 0.454
8567946.78 0.454
8570396.17 0.453
8572846.95 0.452
8575299.14 0.452
8577752.73 0.451
8580207.73 0.45
8582664.13 0.45
8585121.94 0.449
8587581.15 0.448
8590041.78 0.448
8592503.81 0.447
8594967.26 0.446
8597432.12 0.446
8599898.39 0.445
8602366.08 0.444
8604835.19 0.444
8607305.71 0.445
8609777.66 0.445
8612251.02 0.445
8614725.80 0.445
8617202.01 0.446
8619679.64 0.446
8622158.70 0.446
8624639.18 0.446
8627121.09 0.446
8629604.43 0.447
8632089.20 0.447
8634575.40 0.447
8637063.04 0.447
8639552.10 0.447
8642042.61 0.447
8644534.54 0.447
8647027.92 0.447
8649522.74 0.447
8652018.99 0.447
8654516.69 0.447
8657015.82 0.447
8659516.41 0.447
8662018.43 0.447
8664521.91 0.447
8667026.83 0.447
8669533.20 0.447
8672041.02 0.447
8674550.29 0.447
8677061.01 0.447
8679573.19 0.447
8682086.82 0.446
8684601.91 0.445
8687118.46 0.445
8689636.46 0.444
8692155.93 0.444
8694676.86 0.443
8697199.25 0.443
8699723.10 0.442
8702248.42 0.442
8704775.20 0.441
8707303.46 0.441
8709833.18 0.44
8712364.37 0.44
8714897.03 0.439
8717431.17 0.439
8719966.78 0.438
8722503.87 0.438
8725042.43 0.438
8727582.47 0.437
8730124.00 0.437
8732667.00 0.437
8735211.48 0.436
8737757.45 0.436
8740304.90 0.436
8742853.83 0.435
8745404.26 0.435
8747956.17 0.435
8750509.57 0.434
8753064.47 0.434
8755620.85 0.433
8758178.73 0.432
8760738.11 0.431
8763298.98 0.43
8765861.35 0.429
8768425.21 0.428
8770990.58 0.427
8773557.45 0.426
8776125.82 0.425
8778695.70 0.424
8781267.08 0.423
8783839.96 0.422
8786414.36 0.421
8788990.27 0.42
8791567.68 0.419
8794146.61 0.418
8796727.05 0.417
8799309.01 0.416
8801892.48 0.415
8804477.47 0.413
8807063.98 0.412
8809652.01 0.411
8812241.56 0.41
8814832.64 0.409
8817425.24 0.408
8820019.36 0.407
8822615.01 0.406
8825212.19 0.404
8827810.90 0.403
8830411.13 0.402
8833012.91 0.401
8835616.21 0.399
8838221.05 0.397
8840827.43 0.396
8843435.34 0.394
8846044.79 0.392
8848655.79 0.39
8851268.32 0.388
8853882.40 0.386
8856498.02 0.384
8859115.19 0.383
8861733.90 0.381
8864354.17 0.379
8866975.98 0.377
8869599.35 0.375
8872224.27 0.373
8874850.74 0.371
8877478.77 0.369
8880108.35 0.366
8882739.50 0.364
8885372.20 0.362
8888006.46 0.359
8890642.29 0.357
8893279.68 0.355
8895918.64 0.352
8898559.16 0.35
8901201.25 0.348
8903844.91 0.345
8906490.14 0.343
8909136.94 0.341
8911785.32 0.338
8914435.27 0.336
8917086.79 0.334
8919739.90 0.332
8922394.58 0.33
8925050.85 0.328
8927708.70 0.326
8930368.13 0.324
8933029.14 0.322
8935691.74 0.32
8938355.93 0.318
8941021.71 0.316
8943689.08 0.314
8946358.04 0.312
8949028.60 0.31
8951700.75 0.308
8954374.49 0.306
8957049.84 0.304
8959726.78 0.301
8962405.32 0.299
8965085.47 0.297
8967767.22 0.294
8970450.57 0.292
8973135.53 0.29
8975822.10 0.288
8978510.27 0.285
8981200.06 0.283
8983891.46 0.281
8986584.47 0.278
8989279.10 0.276
8991975.34 0.274
8994673.21 0.271
8997372.69 0.269
9000073.79 0.266
9002776.52 0.263
9005480.87 0.26
9008186.84 0.257
9010894.44 0.255
9013603.67 0.252
9016314.53 0.249
9019027.02 0.246
9021741.14 0.244
9024456.89 0.241
9027174.28 0.238
9029893.31 0.235
9032613.98 0.233
9035336.29 0.23
9038060.24 0.227
9040785.83 0.224
9043513.06 0.221
9046241.94 0.218
9048972.47 0.215
9051704.65 0.212
9054438.48 0.209
9057173.96 0.206
9059911.09 0.203
9062649.88 0.2
9065390.32 0.197
9068132.43 0.195
9070876.19 0.192
9073621.61 0.189
9076368.70 0.186
9079117.44 0.183
9081867.86 0.181
9084619.94 0.179
9087373.69 0.177
9090129.11 0.175
9092886.20 0.172
9095644.96 0.17
9098405.40 0.168
9101167.52 0.166
9103931.31 0.164
9106696.78 0.162
9109463.93 0.16
9112232.77 0.157
9115003.28 0.155
9117775.49 0.153
9120549.38 0.151
9123324.95 0.149
9126102.22 0.148
9128881.18 0.146
9131661.83 0.144
9134444.18 0.142
9137228.22 0.141
9140013.96 0.139
9142801.40 0.137
9145590.54 0.136
9148381.39 0.134
9151173.93 0.132
9153968.18 0.13
9156764.14 0.129
9159561.81 0.127
9162361.19 0.125
9165162.27 0.123
9167965.08 0.122
9170769.59 0.12
9173575.83 0.118
9176383.78 0.116
9179193.45 0.114
9182004.84 0.113
9184817.95 0.111
9187632.79 0.109
9190449.36 0.107
9193267.65 0.105
9196087.67 0.104
9198909.42 0.102
9201732.90 0.1
9204558.12 0.098
9207385.07 0.097
9210213.76 0.096
9213044.19 0.095
9215876.36 0.093
9218710.27 0.092
9221545.92 0.091
9224383.32 0.09
9227222.47 0.088
9230063.36 0.087
9232906.01 0.086
9235750.40 0.085
9238596.55 0.083
9241444.45 0.082
9244294.11 0.081
9247145.53 0.079
9249998.70 0.078
9252853.64 0.077
9255710.34 0.076
9258568.81 0.075
9261429.04 0.074
9264291.04 0.073
9267154.81 0.072
9270020.35 0.071
9272887.66 0.07
9275756.75 0.069
9278627.61 0.068
9281500.25 0.067
9284374.67 0.065
9287250.87 0.064
9290128.85 0.063
9293008.62 0.062
9295890.17 0.062
9298773.51 0.061
9301658.64 0.06
9304545.56 0.059
9307434.28 0.059
9310324.78 0.058
9313217.09 0.057
9316111.19 0.056
9319007.09 0.055
9321904.79 0.055
9324804.29 0.054
9327705.60 0.053
9330608.71 0.052
9333513.64 0.052
9336420.37 0.051
9339328.91 0.05
9342239.26 0.05
9345151.43 0.049
9348065.42 0.049
9350981.22 0.048
9353898.85 0.048
9356818.29 0.047
9359739.56 0.047
9362662.65 0.046
9365587.57 0.046
9368514.31 0.045
9371442.89 0.044
9374373.30 0.044
9377305.54 0.043
9380239.61 0.043
9383175.52 0.042
9386113.27 0.042
9389052.87 0.041
9391994.30 0.04
9394937.57 0.04
9397882.70 0.039
9400829.66 0.039
9403778.48 0.038
9406729.15 0.037
9409681.67 0.037
9412636.04 0.036
9415592.27 0.036
9418550.36 0.035
9421510.31 0.034
9424472.12 0.034
9427435.79 0.033
9430401.32 0.033
9433368.72 0.033
9436337.99 0.032
9439309.13 0.032
9442282.14 0.031
9445257.03 0.031
9448233.79 0.03
9451212.42 0.03
9454192.94 0.03
9457175.33 0.029
9460159.61 0.029
9463145.77 0.028
9466133.82 0.028
9469123.75 0.027
9472115.58 0.027
9475109.29 0.027
9478104.90 0.026
9481102.40 0.026
9484101.80 0.026
9487103.10 0.025
9490106.30 0.025
9493111.40 0.025
9496118.40 0.024
9499127.31 0.024
9502138.13 0.024
9505150.86 0.023
9508165.49 0.023
9511182.04 0.023
9514200.51 0.022
9517220.89 0.022
9520243.19 0.022
9523267.41 0.021
9526293.55 0.021
9529321.61 0.021
9532351.61 0.02
9541453.15 0.02
9544490.86 0.019
9550572.09 0.019
9553615.62 0.018
9559708.48 0.018
9562757.83 0.017
9574974.70 0.017
9578033.80 0.016
9593358.66 0.016
9596429.51 0.015
9608732.63 0.015
9611813.34 0.014
9630339.16 0.014
9633433.74 0.013
9648936.53 0.013
9652043.08 0.012
9667605.87 0.012
9670724.45 0.011
9686347.59 0.011
9689478.28 0.01
9702021.29 0.01
9705162.12 0.009
9730362.16 0.009
9733521.36 0.008
9762046.83 0.008
9765226.64 0.007
9793938.52 0.007
9797139.15 0.006
9832484.68 0.006
9835710.56 0.005
9894140.53 0.005
9897407.00 0.004
9956574.49 0.004
9959882.33 0.003
10043298.43 0.003
10046664.14 0.002
10186627.86 0.002
10190090.35 0.001
10489589.15 0.001
10493260.69 0
